id,dof,test error,skew,kurtosis,time
0.0,25.99999849510396,0.31581140244210537,-0.8455589476782378,1.7276553863538755,0.08191919326782227
1.0,24.99999850324063,0.31576155025523667,-0.8340579924798674,1.6529027317856793,0.028847455978393555
2.0,24.99999851130488,0.3180670416344009,-0.8279643124178884,1.7712458597927876,0.03461933135986328
3.0,23.99999851932079,0.31751041882793757,-0.8280556224798525,1.6907965972427998,0.026766300201416016
4.0,23.99999851645828,0.33514674009989903,-0.9029044496151704,2.3205608691732102,0.029360532760620117
5.0,22.999998524480848,0.33536967115129374,-0.8816840033442369,2.179194795601319,0.02849555015563965
6.0,22.999998528203733,0.3435392642830623,-0.8745359146713492,2.429834470666613,0.02482128143310547
7.0,21.9999985333481,0.34273584000204804,-0.8655960838688652,2.3408993996188574,0.07378172874450684
8.0,21.999998540943288,0.3469051033310394,-0.8451137849645067,2.32833817101801,0.030141353607177734
9.0,20.999998545052506,0.3463821793716962,-0.8217448186129086,2.1500500710049524,0.041893959045410156
10.0,20.999998547481688,0.34655263926899565,-0.8236844994716193,2.317578993118932,0.04498744010925293
11.0,19.99999855165977,0.3460591890885117,-0.79690334782807,2.1306331072349662,0.039331912994384766
12.0,29.99999754284297,0.31110478009672493,-0.7284596066586656,1.4735107899144202,0.056191444396972656
13.0,28.999997554303196,0.31101224995850424,-0.7039538329990555,1.3660872163691735,0.04291224479675293
14.0,28.999997564024063,0.3138193488490887,-0.7101705586230961,1.5300358100713263,0.07952117919921875
15.0,27.999997575251896,0.3134187456675328,-0.6948263193914014,1.422959252566672,0.049759626388549805
16.0,27.99999757042853,0.3255458026157183,-0.6808519580613356,1.8217981720332759,0.0296173095703125
17.0,26.999997581924703,0.3254359500027283,-0.6656419918039223,1.7385527500382025,0.037648916244506836
18.0,26.9999975910519,0.33358158817316946,-0.6560552525489489,1.917232038577601,0.03327345848083496
19.0,25.999997608737313,0.3338580526377494,-0.6617549379204538,1.9528893270438887,0.03426384925842285
20.0,33.99999644816515,0.3030116512032932,-0.5584132345141678,0.8994604940042565,0.07307696342468262
21.0,32.99999646315152,0.3026855662692325,-0.5469000605759914,0.8776787278385751,0.04373526573181152
22.0,32.99999647307989,0.30744863791985927,-0.543711197034862,1.0376895850064436,0.04602241516113281
23.0,31.99999648812068,0.3069885507894913,-0.5390793734022745,1.0094055292820459,0.0447850227355957
24.0,37.9999943851119,0.3074932452423942,-0.4445027839971375,0.5954551626454925,0.05923199653625488
25.0,36.99999439899486,0.3077369837994471,-0.4335099826456861,0.5803342367425843,0.052194833755493164
26.0,36.99999442842008,0.3107289281027736,-0.4439418584365805,0.6516710927757048,0.05875349044799805
27.0,35.99999444206096,0.31083643445412107,-0.4370364684998195,0.6346304510519007,0.05267667770385742
28.0,31.99999553302539,0.33007635076286784,-0.47107967403107237,1.173001866759832,0.05589151382446289
29.0,30.999995542898137,0.33059623322231346,-0.45132029366337023,1.0966311775755395,0.07405972480773926
30.0,30.999995575013735,0.33657010405723325,-0.4443036853967883,1.3349926031758024,0.047214508056640625
31.0,29.999995596782,0.3365812696376207,-0.4483646840708487,1.3584043135592738,0.0831902027130127
32.0,25.99999746842142,0.3425877299475316,-0.6781937852709259,1.93743596087094,0.03945112228393555
33.0,24.99999747536349,0.34245106594973057,-0.6544351089633076,1.7739262854347642,0.03046417236328125
34.0,41.999992496137295,0.30567425158569683,-0.48047313818852594,1.209030378497829,0.0748295783996582
