Code,Year,Share of the population with access to electricity
VEN,2010,99.1
VEN,2011,98.8
VEN,2012,99.3
VEN,2013,99.4
VEN,2014,100
VEN,2015,100
VEN,2016,99.4
VEN,2017,99.2
VEN,2018,99.9
VEN,2019,99.8
VEN,2020,99.9
VEN,2021,100
VEN,2022,100
VEN,2023,100
VNM,1997,78.4
VNM,1998,86.17599
VNM,1999,86.99444
VNM,2000,88.2
VNM,2001,88.9
VNM,2002,89.1
VNM,2003,90.3
VNM,2004,91
VNM,2005,96.1
VNM,2006,96
VNM,2007,93.1
VNM,2008,93.8
VNM,2009,96.1
VNM,2010,97.4
VNM,2011,99
VNM,2012,97.9
VNM,2013,98.5
VNM,2014,99.2
VNM,2015,99.3
VNM,2016,99.2
VNM,2017,100
VNM,2018,100
VNM,2019,99.4
VNM,2020,99.8
VNM,2021,100
VNM,2022,100
VNM,2023,99.8
OWID_WRL,1998,73.196236
OWID_WRL,1999,74.50321
OWID_WRL,2000,78.2214
OWID_WRL,2001,78.71524
OWID_WRL,2002,79.1008
OWID_WRL,2003,79.964905
OWID_WRL,2004,79.95215
OWID_WRL,2005,80.70133
OWID_WRL,2006,81.35346
OWID_WRL,2007,81.97116
OWID_WRL,2008,82.668175
OWID_WRL,2009,82.86582
OWID_WRL,2010,83.447136
OWID_WRL,2011,84.50623
OWID_WRL,2012,84.93629
OWID_WRL,2013,85.710686
OWID_WRL,2014,86.19559
OWID_WRL,2015,86.923996
OWID_WRL,2016,88.10448
OWID_WRL,2017,88.93176
OWID_WRL,2018,89.797386
OWID_WRL,2019,90.10839
OWID_WRL,2020,90.39569
OWID_WRL,2021,91.33427
OWID_WRL,2022,91.28831
OWID_WRL,2023,91.599174
YEM,1992,44.1
YEM,1993,40.774715
YEM,1994,41.985134
YEM,1995,43.193512
YEM,1996,44.39917
YEM,1997,42.6
YEM,1998,46.79961
YEM,1999,47.992947
YEM,2000,49.2
YEM,2001,50.4
YEM,2002,51.5
YEM,2003,52.6
YEM,2004,49.6
YEM,2005,54.8
YEM,2006,55.8
YEM,2007,57.2
YEM,2008,58.4
YEM,2009,59.6
YEM,2010,60.8
YEM,2011,62
YEM,2012,52.4
YEM,2013,75.6
YEM,2014,66.1
YEM,2015,67.4
YEM,2016,68.9
YEM,2017,79.2
YEM,2018,62
YEM,2019,72.8
YEM,2020,73.9
YEM,2021,74.9
YEM,2022,76
YEM,2023,83.6
ZMB,1990,13.9
ZMB,1991,12.752703
ZMB,1992,19.2
ZMB,1993,14.213207
ZMB,1994,14.941759
ZMB,1995,15.668272
ZMB,1996,17.3
ZMB,1997,17.11246
ZMB,1998,19
ZMB,1999,18.540245
ZMB,2000,16.7
ZMB,2001,20.2
ZMB,2002,17.4
ZMB,2003,18.5
ZMB,2004,20.3
ZMB,2005,23.3
ZMB,2006,24.1
ZMB,2007,18.5
ZMB,2008,25.7
ZMB,2009,26.6
ZMB,2010,22
ZMB,2011,28.3
ZMB,2012,29.2
ZMB,2013,30.1
ZMB,2014,27.9
ZMB,2015,31.1
ZMB,2016,35.4
ZMB,2017,40.3
ZMB,2018,40.2
ZMB,2019,43
ZMB,2020,44.6
ZMB,2021,46.7
ZMB,2022,47.8
ZMB,2023,51.1
ZWE,1992,28.2
ZWE,1993,31.163668
ZWE,1994,28.1
ZWE,1995,31.94858
ZWE,1996,32.337296
ZWE,1997,32.72261
ZWE,1998,33.103848
ZWE,1999,38.4
ZWE,2000,33.7
ZWE,2001,34.2
ZWE,2002,34.2
ZWE,2003,35.1
ZWE,2004,35.6
ZWE,2005,36.1
ZWE,2006,37.2
ZWE,2007,37.2
ZWE,2008,37.7
ZWE,2009,43.4
ZWE,2010,38.9
ZWE,2011,36.9
ZWE,2012,44
ZWE,2013,40.6
ZWE,2014,32.3
ZWE,2015,33.7
ZWE,2016,42.5
ZWE,2017,44
ZWE,2018,45.4
ZWE,2019,46.7
ZWE,2020,52.7
ZWE,2021,49
ZWE,2022,50.1
ZWE,2023,62
