Code,Year,"Measles, first dose (MCV1)",Polio (Pol3),Tetanus (DTP3)
PRT,2017,98,98,98
PRT,2018,99,99,99
PRT,2019,99,99,99
PRT,2020,99,99,99
PRT,2021,98,99,99
PRT,2022,98,99,99
PRT,2023,98,99,99
PRT,2024,99,99,99
QAT,1980,26,61,61
QAT,1981,10,43,43
QAT,1982,22,37,37
QAT,1983,69,49,49
QAT,1984,62,60,60
QAT,1985,62,71,71
QAT,1986,62,70,72
QAT,1987,60,86,72
QAT,1988,73,69,69
QAT,1989,79,81,81
QAT,1990,79,82,82
QAT,1991,84,86,86
QAT,1992,86,88,88
QAT,1993,86,90,90
QAT,1994,86,91,91
QAT,1995,87,92,92
QAT,1996,90,92,92
QAT,1997,87,92,92
QAT,1998,89,94,94
QAT,1999,87,92,92
QAT,2000,91,91,80
QAT,2001,92,93,93
QAT,2002,99,96,96
QAT,2003,93,93,92
QAT,2004,99,95,96
QAT,2005,99,98,97
QAT,2006,99,95,96
QAT,2007,92,97,94
QAT,2008,96,98,97
QAT,2009,99,98,99
QAT,2010,99,98,97
QAT,2011,98,92,93
QAT,2012,97,93,92
QAT,2013,97,99,97
QAT,2014,99,99,89
QAT,2015,99,99,99
QAT,2016,99,98,98
QAT,2017,99,97,97
QAT,2018,99,98,98
QAT,2019,99,99,98
QAT,2020,90,89,89
QAT,2021,99,98,98
QAT,2022,99,99,98
QAT,2023,99,98,95
QAT,2024,99,98,96
ROU,1983,83,,
ROU,1984,86,,
ROU,1985,88,92,95
ROU,1986,81,90,89
ROU,1987,90,90,92
ROU,1988,78,92,96
ROU,1989,90,95,96
ROU,1990,92,92,96
ROU,1991,92,90,98
ROU,1992,91,92,98
ROU,1993,93,91,91
ROU,1994,91,94,98
ROU,1995,93,94,98
ROU,1996,94,97,98
ROU,1997,97,97,97
ROU,1998,97,98,97
ROU,1999,98,98,97
ROU,2000,98,99,99
ROU,2001,98,99,99
ROU,2002,98,98,98
ROU,2003,97,97,97
ROU,2004,97,97,97
ROU,2005,97,97,97
ROU,2006,95,97,97
ROU,2007,97,96,96
ROU,2008,96,95,96
ROU,2009,96,95,95
ROU,2010,95,94,94
ROU,2011,93,89,89
ROU,2012,94,92,91
ROU,2013,92,88,92
ROU,2014,89,94,94
ROU,2015,86,89,89
ROU,2016,86,89,89
ROU,2017,87,82,82
ROU,2018,90,86,86
ROU,2019,90,88,88
ROU,2020,87,87,87
ROU,2021,86,86,86
ROU,2022,83,85,85
ROU,2023,78,79,79
ROU,2024,78,79,79
RUS,1992,83,69,73
RUS,1993,88,82,79
RUS,1994,81,68,88
RUS,1995,85,77,78
RUS,1996,88,87,84
RUS,1997,91,91,88
RUS,1998,94,94,91
RUS,1999,97,97,95
RUS,2000,97,97,96
RUS,2001,97,97,96
RUS,2002,98,97,97
RUS,2003,98,97,96
RUS,2004,98,98,97
RUS,2005,99,98,98
RUS,2006,99,98,98
RUS,2007,99,98,98
RUS,2008,99,98,98
RUS,2009,98,98,98
RUS,2010,98,98,97
RUS,2011,98,97,97
RUS,2012,98,98,97
RUS,2013,98,98,97
RUS,2014,98,97,97
RUS,2015,98,97,97
RUS,2016,98,97,97
RUS,2017,98,96,97
RUS,2018,98,96,97
RUS,2019,98,96,97
RUS,2020,97,97,97
RUS,2021,97,97,97
RUS,2022,97,97,97
RUS,2023,97,97,97
RUS,2024,97,97,97
RWA,1981,42,15,17
RWA,1982,48,20,38
RWA,1983,53,25,59
RWA,1984,53,41,55
RWA,1985,52,56,50
RWA,1986,79,86,87
RWA,1987,78,86,88
RWA,1988,79,78,80
RWA,1989,83,93,82
RWA,1990,83,83,84
RWA,1991,89,90,91
RWA,1992,82,86,85
RWA,1993,74,83,83
RWA,1994,25,23,23
RWA,1995,84,84,83
RWA,1996,76,89,89
RWA,1997,66,73,73
RWA,1998,72,79,79
RWA,1999,78,85,85
RWA,2000,74,90,90
RWA,2001,69,76,77
RWA,2002,69,85,88
RWA,2003,90,96,96
RWA,2004,84,89,89
RWA,2005,89,95,95
RWA,2006,95,99,99
RWA,2007,94,98,97
RWA,2008,92,97,97
RWA,2009,95,93,97
RWA,2010,95,93,97
RWA,2011,95,93,97
RWA,2012,97,98,98
RWA,2013,95,98,98
RWA,2014,97,98,98
RWA,2015,96,99,98
RWA,2016,95,99,98
RWA,2017,97,98,98
RWA,2018,99,97,97
RWA,2019,96,98,98
RWA,2020,94,91,91
RWA,2021,87,88,88
RWA,2022,99,97,98
RWA,2023,96,94,94
RWA,2024,97,98,98
KNA,1980,,76,56
KNA,1981,,71,67
KNA,1982,,93,92
KNA,1983,,91,90
KNA,1984,85,97,97
KNA,1985,91,89,92
KNA,1986,96,99,99
KNA,1987,91,98,96
KNA,1988,77,93,94
KNA,1989,90,99,99
KNA,1990,99,99,99
KNA,1991,99,99,99
KNA,1992,99,99,99
KNA,1993,99,99,99
KNA,1994,99,99,99
KNA,1995,99,99,99
KNA,1996,99,98,99
KNA,1997,97,99,99
KNA,1998,99,98,98
KNA,1999,99,99,99
KNA,2000,99,99,99
KNA,2001,90,99,99
KNA,2002,99,97,97
KNA,2003,98,99,99
KNA,2004,98,96,96
KNA,2005,99,99,99
KNA,2006,99,99,99
KNA,2007,99,99,99
KNA,2008,99,98,99
KNA,2009,99,95,98
KNA,2010,99,91,96
KNA,2011,99,99,98
KNA,2012,95,98,98
KNA,2013,99,97,97
KNA,2014,93,96,98
KNA,2015,95,91,94
KNA,2016,98,99,98
KNA,2017,93,97,98
KNA,2018,96,98,98
KNA,2019,97,97,97
KNA,2020,95,99,99
KNA,2021,96,96,96
KNA,2022,95,96,96
KNA,2023,95,96,96
KNA,2024,95,97,97
LCA,1980,,58,56
LCA,1981,,65,64
LCA,1982,43,81,79
LCA,1983,36,80,81
LCA,1984,60,84,83
LCA,1985,68,44,87
LCA,1986,91,88,78
LCA,1987,81,86,85
LCA,1988,83,87,78
LCA,1989,91,93,92
LCA,1990,82,90,89
LCA,1991,97,95,96
LCA,1992,75,96,96
LCA,1993,94,97,97
LCA,1994,92,93,93
LCA,1995,94,98,98
LCA,1996,95,88,88
LCA,1997,95,98,98
LCA,1998,90,88,88
LCA,1999,95,89,89
LCA,2000,88,70,70
LCA,2001,89,99,99
LCA,2002,98,90,74
LCA,2003,90,91,90
LCA,2004,95,91,91
LCA,2005,94,95,95
LCA,2006,94,85,85
LCA,2007,94,99,99
LCA,2008,99,96,96
LCA,2009,99,95,95
LCA,2010,95,97,97
LCA,2011,91,99,99
LCA,2012,99,98,98
LCA,2013,99,99,99
LCA,2014,99,99,99
LCA,2015,97,99,99
LCA,2016,99,95,95
LCA,2017,87,80,80
LCA,2018,86,95,95
LCA,2019,96,91,92
LCA,2020,89,88,86
LCA,2021,77,75,80
LCA,2022,81,80,81
LCA,2023,85,97,74
LCA,2024,83,87,99
VCT,1980,,26,26
VCT,1981,,33,32
VCT,1982,40,99,67
VCT,1983,59,84,80
VCT,1984,92,90,86
VCT,1985,74,89,90
VCT,1986,88,95,95
VCT,1987,91,96,97
VCT,1988,97,97,98
VCT,1989,99,97,98
VCT,1990,96,92,98
VCT,1991,99,99,99
VCT,1992,99,99,99
VCT,1993,99,99,99
VCT,1994,99,99,99
VCT,1995,99,97,97
VCT,1996,99,99,99
VCT,1997,99,99,99
VCT,1998,99,99,99
VCT,1999,87,99,95
VCT,2000,96,99,98
VCT,2001,98,99,99
VCT,2002,99,99,99
VCT,2003,94,99,99
VCT,2004,99,99,99
VCT,2005,97,93,99
VCT,2006,99,99,99
VCT,2007,99,99,99
VCT,2008,99,99,99
VCT,2009,99,99,99
VCT,2010,99,99,99
VCT,2011,97,96,96
VCT,2012,94,96,96
VCT,2013,99,97,97
VCT,2014,99,97,98
VCT,2015,99,99,99
VCT,2016,99,99,99
VCT,2017,99,99,99
VCT,2018,99,99,97
VCT,2019,99,99,97
VCT,2020,99,99,97
VCT,2021,96,92,92
VCT,2022,99,99,99
VCT,2023,90,99,94
VCT,2024,99,99,99
WSM,1980,,29,29
WSM,1981,,66,66
WSM,1982,59,87,87
WSM,1983,78,89,89
WSM,1984,83,96,96
WSM,1985,81,92,89
WSM,1986,91,94,94
WSM,1987,78,93,93
WSM,1988,75,90,90
WSM,1989,82,66,66
WSM,1990,89,88,90
WSM,1991,77,79,79
WSM,1992,90,91,91
WSM,1993,92,92,92
WSM,1994,94,93,93
WSM,1995,96,94,94
WSM,1996,96,95,95
WSM,1997,99,99,96
WSM,1998,99,99,99
WSM,1999,91,97,97
WSM,2000,93,98,98
WSM,2001,92,88,90
WSM,2002,99,91,92
WSM,2003,62,90,90
WSM,2004,25,35,63
WSM,2005,57,66,59
WSM,2006,54,49,50
WSM,2007,63,63,65
WSM,2008,44,69,39
WSM,2009,45,61,64
WSM,2010,56,74,78
WSM,2011,59,79,82
WSM,2012,76,82,82
WSM,2013,92,81,84
WSM,2014,85,76,78
WSM,2015,75,78,80
WSM,2016,75,73,74
WSM,2017,67,66,67
WSM,2018,40,44,44
WSM,2019,96,68,68
WSM,2020,66,89,89
WSM,2021,62,80,85
WSM,2022,82,76,76
WSM,2023,87,84,83
WSM,2024,85,85,85
SMR,1983,,99,99
SMR,1984,,99,99
SMR,1985,,99,99
SMR,1986,,99,99
SMR,1987,,99,99
SMR,1988,,99,99
SMR,1989,,99,99
SMR,1990,,99,99
SMR,1991,99,99,99
SMR,1992,99,99,99
SMR,1993,96,99,99
SMR,1994,97,99,88
SMR,1995,97,98,99
SMR,1996,98,98,99
SMR,1997,98,97,99
SMR,1998,99,97,99
SMR,1999,99,96,99
SMR,2000,99,96,98
SMR,2001,97,95,97
SMR,2002,96,95,96
SMR,2003,94,94,96
SMR,2004,94,94,95
SMR,2005,94,94,96
SMR,2006,90,91,92
SMR,2007,90,90,91
SMR,2008,86,90,91
SMR,2009,88,90,90
SMR,2010,88,89,90
SMR,2011,90,92,92
SMR,2012,84,89,89
SMR,2013,82,86,86
SMR,2014,81,84,84
SMR,2015,84,85,85
SMR,2016,82,86,86
SMR,2017,86,89,88
SMR,2018,89,91,90
SMR,2019,86,88,88
SMR,2020,90,89,89
SMR,2021,89,90,90
SMR,2022,91,92,92
SMR,2023,89,91,91
SMR,2024,85,88,88
STP,1981,25,48,42
STP,1982,32,48,34
STP,1983,40,48,26
STP,1984,48,48,49
STP,1985,35,48,48
STP,1986,58,66,65
STP,1987,69,72,72
STP,1988,69,72,77
STP,1989,45,62,63
STP,1990,71,90,92
STP,1991,77,87,87
STP,1992,52,67,68
STP,1993,57,60,60
STP,1994,65,69,83
STP,1995,74,79,79
STP,1996,57,68,68
STP,1997,60,73,73
STP,1998,59,72,73
STP,1999,64,80,78
STP,2000,69,87,82
STP,2001,75,90,92
STP,2002,85,92,92
STP,2003,87,94,94
STP,2004,91,99,96
STP,2005,88,97,97
STP,2006,85,97,97
STP,2007,86,98,97
STP,2008,93,99,99
STP,2009,90,99,98
STP,2010,92,98,98
STP,2011,91,96,96
STP,2012,92,96,96
STP,2013,91,97,97
STP,2014,92,95,95
STP,2015,93,96,96
STP,2016,93,96,96
STP,2017,90,95,95
STP,2018,95,95,95
STP,2019,95,95,95
STP,2020,86,94,96
STP,2021,77,93,97
STP,2022,82,89,92
STP,2023,87,85,87
STP,2024,87,85,87
SAU,1980,8,41,41
SAU,1981,12,53,53
SAU,1982,53,62,62
SAU,1983,65,67,67
SAU,1984,71,76,76
SAU,1985,79,81,81
SAU,1986,77,86,86
SAU,1987,77,89,89
SAU,1988,81,89,89
SAU,1989,90,96,96
SAU,1990,88,92,92
SAU,1991,95,91,91
SAU,1992,88,91,91
SAU,1993,91,94,94
SAU,1994,93,95,95
SAU,1995,94,96,96
SAU,1996,92,93,93
SAU,1997,92,92,92
SAU,1998,93,94,94
SAU,1999,92,93,93
SAU,2000,94,95,95
SAU,2001,94,97,97
SAU,2002,97,95,95
SAU,2003,96,95,95
SAU,2004,97,96,96
SAU,2005,97,96,96
SAU,2006,95,96,96
SAU,2007,96,96,96
SAU,2008,97,98,98
SAU,2009,98,98,98
SAU,2010,98,98,98
SAU,2011,98,98,98
SAU,2012,98,98,98
SAU,2013,98,98,98
SAU,2014,98,98,98
SAU,2015,98,97,98
SAU,2016,98,97,98
SAU,2017,96,97,98
SAU,2018,98,98,96
SAU,2019,95,97,96
SAU,2020,96,95,95
SAU,2021,98,97,97
SAU,2022,98,98,98
SAU,2023,97,96,97
SAU,2024,96,97,97
SEN,1986,71,55,54
SEN,1987,66,56,57
SEN,1988,60,58,59
SEN,1989,48,56,47
SEN,1990,51,53,51
SEN,1991,54,51,51
SEN,1992,57,59,59
SEN,1993,58,58,58
SEN,1994,59,57,57
SEN,1995,80,80,80
SEN,1996,70,70,70
SEN,1997,65,65,59
SEN,1998,62,60,59
SEN,1999,60,60,60
SEN,2000,48,49,52
SEN,2001,48,49,52
SEN,2002,54,60,60
SEN,2003,60,73,73
SEN,2004,57,87,87
SEN,2005,74,84,84
SEN,2006,80,89,89
SEN,2007,84,93,94
SEN,2008,77,87,88
SEN,2009,79,83,86
SEN,2010,81,76,89
SEN,2011,84,89,92
SEN,2012,83,83,91
SEN,2013,84,89,92
SEN,2014,80,85,89
SEN,2015,80,85,89
SEN,2016,93,92,93
SEN,2017,90,91,93
SEN,2018,86,92,92
SEN,2019,86,97,91
SEN,2020,82,94,83
SEN,2021,88,89,85
SEN,2022,87,92,93
SEN,2023,87,92,92
SEN,2024,87,91,91
SRB,1992,82,84,84
SRB,1993,85,83,85
SRB,1994,81,84,85
SRB,1995,86,90,89
SRB,1996,90,91,91
SRB,1997,92,94,94
SRB,1998,88,93,93
SRB,1999,84,92,92
SRB,2000,89,98,95
SRB,2001,90,93,93
SRB,2002,92,95,95
SRB,2003,87,89,89
SRB,2004,89,96,88
SRB,2005,96,98,98
SRB,2006,88,97,92
SRB,2007,95,93,94
SRB,2008,92,95,95
SRB,2009,95,97,95
SRB,2010,95,91,91
SRB,2011,93,94,94
SRB,2012,87,93,91
SRB,2013,92,97,95
SRB,2014,86,93,93
SRB,2015,87,95,95
SRB,2016,82,93,93
SRB,2017,86,95,95
SRB,2018,93,97,97
SRB,2019,87,97,97
SRB,2020,78,92,92
SRB,2021,75,91,91
SRB,2022,81,92,92
SRB,2023,84,93,93
SRB,2024,84,95,95
SYC,1981,29,16,13
SYC,1982,64,57,55
SYC,1983,98,98,97
SYC,1984,77,95,95
SYC,1985,90,86,86
SYC,1986,95,94,94
SYC,1987,95,89,89
SYC,1988,89,94,94
SYC,1989,89,97,97
SYC,1990,86,99,99
SYC,1991,89,98,98
SYC,1992,92,96,96
SYC,1993,92,96,96
SYC,1994,92,96,96
SYC,1995,97,97,97
SYC,1996,98,99,99
SYC,1997,99,98,98
SYC,1998,93,99,99
SYC,1999,99,99,99
SYC,2000,97,98,98
SYC,2001,95,96,96
SYC,2002,98,99,99
SYC,2003,99,99,99
SYC,2004,99,99,99
SYC,2005,99,99,99
SYC,2006,99,99,99
SYC,2007,99,99,99
SYC,2008,99,99,99
SYC,2009,97,99,99
SYC,2010,99,99,99
SYC,2011,99,99,99
SYC,2012,98,98,98
SYC,2013,97,98,98
SYC,2014,99,99,99
SYC,2015,98,97,97
SYC,2016,97,96,96
SYC,2017,99,97,97
SYC,2018,96,99,99
SYC,2019,99,99,99
SYC,2020,97,97,97
SYC,2021,94,94,94
SYC,2022,98,97,97
SYC,2023,93,97,97
SYC,2024,97,94,94
SLE,1999,62,61,43
SLE,2000,37,46,44
SLE,2001,50,38,38
SLE,2002,62,54,53
SLE,2003,73,66,73
SLE,2004,76,69,65
SLE,2005,71,67,65
SLE,2006,65,65,64
SLE,2007,60,63,64
SLE,2008,73,75,77
SLE,2009,80,81,84
SLE,2010,82,84,86
SLE,2011,84,88,89
SLE,2012,86,91,91
SLE,2013,85,92,92
SLE,2014,80,83,83
SLE,2015,78,86,86
SLE,2016,85,84,84
SLE,2017,80,90,90
SLE,2018,87,93,93
SLE,2019,93,95,95
SLE,2020,87,90,91
SLE,2021,87,90,92
SLE,2022,90,91,91
SLE,2023,90,91,91
SLE,2024,90,91,91
SGP,1980,47,83,84
SGP,1981,57,88,87
SGP,1982,78,83,83
SGP,1983,88,86,84
SGP,1984,85,81,77
SGP,1985,75,81,78
SGP,1986,85,94,91
SGP,1987,94,95,96
SGP,1988,87,90,90
SGP,1989,81,90,90
SGP,1990,84,85,85
SGP,1991,92,91,91
SGP,1992,89,92,89
SGP,1993,87,92,92
SGP,1994,95,94,95
SGP,1995,97,98,98
SGP,1996,97,97,97
SGP,1997,98,98,98
SGP,1998,96,97,97
SGP,1999,97,97,97
SGP,2000,96,98,98
SGP,2001,95,95,96
SGP,2002,94,94,94
SGP,2003,93,96,96
SGP,2004,95,95,95
SGP,2005,96,96,96
SGP,2006,95,95,95
SGP,2007,95,97,97
SGP,2008,95,97,97
SGP,2009,95,97,97
SGP,2010,95,96,96
SGP,2011,95,96,96
SGP,2012,95,97,97
SGP,2013,95,97,97
SGP,2014,95,96,96
SGP,2015,95,96,96
SGP,2016,95,96,97
SGP,2017,95,96,96
SGP,2018,97,97,97
SGP,2019,96,97,97
SGP,2020,97,98,98
SGP,2021,96,98,98
SGP,2022,96,97,97
SGP,2023,97,98,98
SGP,2024,97,97,97
SVK,1994,97,98,99
SVK,1995,99,98,99
SVK,1996,99,98,99
SVK,1997,99,98,99
SVK,1998,99,98,99
SVK,1999,99,99,99
SVK,2000,98,98,99
SVK,2001,99,99,99
SVK,2002,99,98,99
SVK,2003,99,98,99
SVK,2004,99,99,99
SVK,2005,98,99,99
SVK,2006,98,99,99
SVK,2007,99,99,99
SVK,2008,99,99,99
SVK,2009,99,99,99
SVK,2010,98,99,99
SVK,2011,98,99,99
SVK,2012,99,99,99
SVK,2013,98,98,98
SVK,2014,97,97,97
SVK,2015,95,96,96
SVK,2016,95,96,96
SVK,2017,96,96,96
SVK,2018,96,97,97
SVK,2019,96,97,97
SVK,2020,96,97,97
SVK,2021,95,97,97
SVK,2022,95,97,97
SVK,2023,94,96,96
SVK,2024,94,96,96
SVN,1992,90,98,98
SVN,1993,90,98,98
SVN,1994,91,98,98
SVN,1995,93,98,98
SVN,1996,93,98,98
SVN,1997,82,92,94
SVN,1998,93,90,91
SVN,1999,98,93,92
SVN,2000,95,93,91
SVN,2001,94,93,92
SVN,2002,93,93,93
SVN,2003,94,95,95
SVN,2004,94,94,94
SVN,2005,94,95,95
SVN,2006,96,97,97
SVN,2007,96,97,97
SVN,2008,96,97,97
SVN,2009,95,96,96
SVN,2010,95,96,96
SVN,2011,96,96,96
SVN,2012,95,96,96
SVN,2013,94,95,95
SVN,2014,94,95,95
SVN,2015,94,95,95
SVN,2016,92,94,94
SVN,2017,93,94,94
SVN,2018,93,93,93
SVN,2019,94,95,95
SVN,2020,94,95,95
SVN,2021,95,86,86
SVN,2022,96,89,89
SVN,2023,95,89,89
SVN,2024,95,90,90
SLB,1980,,43,46
SLB,1981,,34,35
SLB,1982,,22,23
SLB,1983,,27,27
SLB,1984,,41,45
SLB,1985,,36,38
SLB,1986,31,41,42
SLB,1987,58,41,66
SLB,1988,69,63,69
SLB,1989,92,66,67
SLB,1990,70,75,77
SLB,1991,76,74,76
SLB,1992,70,73,71
SLB,1993,64,71,65
SLB,1994,60,65,68
SLB,1995,68,69,69
SLB,1996,90,98,72
SLB,1997,68,70,72
SLB,1998,66,71,70
SLB,1999,99,88,88
SLB,2000,91,88,86
SLB,2001,83,88,84
SLB,2002,78,78,78
SLB,2003,82,84,84
SLB,2004,87,89,90
SLB,2005,87,90,89
SLB,2006,99,99,99
SLB,2007,90,89,88
SLB,2008,71,88,85
SLB,2009,69,90,86
SLB,2010,74,84,83
SLB,2011,77,97,91
SLB,2012,87,88,92
SLB,2013,76,85,83
SLB,2014,76,78,77
SLB,2015,75,85,87
SLB,2016,82,89,94
SLB,2017,84,80,83
SLB,2018,93,85,85
SLB,2019,81,93,94
SLB,2020,81,92,94
SLB,2021,67,84,87
SLB,2022,90,89,89
SLB,2023,68,81,84
SLB,2024,78,85,87
SOM,1980,9,8,
SOM,1981,3,2,2
SOM,1982,4,5,5
SOM,1983,6,5,5
SOM,1984,16,11,10
SOM,1985,35,22,22
SOM,1986,25,17,17
SOM,1987,28,25,25
SOM,1988,33,26,26
SOM,1989,30,18,18
SOM,1990,30,18,19
SOM,1991,30,18,20
SOM,1992,32,20,21
SOM,1993,33,21,22
SOM,1994,35,23,23
SOM,1995,34,22,22
SOM,1996,33,21,21
SOM,1997,25,19,19
SOM,1998,32,35,33
SOM,1999,38,40,36
SOM,2000,24,37,33
SOM,2001,20,33,33
SOM,2002,45,40,40
SOM,2003,40,40,40
SOM,2004,40,30,30
SOM,2005,35,35,35
SOM,2006,35,26,26
SOM,2007,35,40,40
SOM,2008,34,40,31
SOM,2009,43,41,42
SOM,2010,46,49,45
SOM,2011,46,49,41
SOM,2012,46,47,42
SOM,2013,47,48,44
SOM,2014,48,49,46
SOM,2015,50,50,48
SOM,2016,51,51,49
SOM,2017,52,52,51
SOM,2018,53,53,53
SOM,2019,52,57,57
SOM,2020,52,55,55
SOM,2021,58,63,62
SOM,2022,69,72,71
SOM,2023,63,71,69
SOM,2024,64,71,70
ZAF,1983,74,80,74
ZAF,1984,70,76,75
ZAF,1985,70,77,75
ZAF,1986,64,70,70
ZAF,1987,75,75,72
ZAF,1988,68,70,70
ZAF,1989,84,73,71
ZAF,1990,79,76,72
ZAF,1991,85,82,81
ZAF,1992,85,79,79
ZAF,1993,85,81,81
ZAF,1994,76,73,73
ZAF,1995,76,72,72
ZAF,1996,76,73,73
ZAF,1997,82,72,76
ZAF,1998,79,72,75
ZAF,1999,75,71,74
ZAF,2000,72,71,73
ZAF,2001,69,71,71
ZAF,2002,65,70,70
ZAF,2003,62,70,69
ZAF,2004,63,73,74
ZAF,2005,64,75,81
ZAF,2006,69,79,84
ZAF,2007,68,79,85
ZAF,2008,73,77,82
ZAF,2009,77,75,81
ZAF,2010,72,72,77
ZAF,2011,77,71,75
ZAF,2012,79,69,71
ZAF,2013,78,79,81
ZAF,2014,84,85,85
ZAF,2015,86,85,85
ZAF,2016,84,85,85
ZAF,2017,81,84,84
ZAF,2018,81,82,82
ZAF,2019,83,85,85
ZAF,2020,84,84,84
ZAF,2021,87,86,86
ZAF,2022,86,85,85
ZAF,2023,80,79,79
ZAF,2024,76,74,74
,1980,47.32758,53.61987,35.13651
,1981,58.688114,39.21132,42.443363
,1982,55.76373,47.66602,49.267147
,1983,57.63614,53.85006,53.36625
,1984,63.99634,57.478374,59.492393
,1985,60.63737,56.62888,61.919632
,1986,62.436707,56.375145,57.27675
,1987,63.68812,60.88316,58.808468
,1988,64.83655,67.218,62.380806
,1989,64.856415,64.82646,62.69479
,1990,76.53064,69.40551,71.52581
,1991,81.037964,73.35679,75.858574
,1992,83.83849,73.461174,74.3386
,1993,84.045296,73.76149,77.837105
,1994,81.48804,76.61255,77.18845
,1995,85.96658,82.497185,81.5194
,1996,82.39459,82.1419,78.72925
,1997,89.54103,86.24622,79.78393
,1998,90.92567,87.110985,83.782616
,1999,93.465996,92.362755,88.35243
,2000,94.66387,92.09919,90.7119
,2001,96.257835,92.19754,89.77683
,2002,94.023445,93.05406,91.45592
,2003,94.93777,95.125336,93.39251
,2004,93.622604,92.68062,93.94241
,2005,92.72198,91.92659,93.93154
,2006,95.25601,93.73688,93.56521
,2007,95.295876,93.17337,92.79605
,2008,96.00276,93.859184,91.67894
,2009,95.61462,93.972404,94.765755
,2010,94.00138,93.021645,93.569
,2011,94.93023,92.35302,92.7903
,2012,95.24847,91.43726,92.12327
,2013,93.506676,90.110214,92.48746
,2014,93.4206,90.58069,90.20131
,2015,93.18839,93.461525,92.58963
,2016,92.239296,80.36048,89.1084
,2017,88.73732,85.25423,84.27002
,2018,89.99408,83.47724,85.36475
,2019,89.63315,84.09665,77.5641
,2020,80.00948,75.00437,75.73587
,2021,76.226814,71.74715,73.357574
,2022,78.42446,75.13877,76.6863
,2023,84.08243,80.65822,82.35732
,1980,0,2,5
,1981,0,3,6
,1982,1,7,11
,1983,3,10,13
,1984,5,13,16
,1985,6,15,18
,1986,14,18,21
,1987,25,27,29
,1988,33,36,38
,1989,44,52,49
,1990,56,64,67
,1991,47,58,57
,1992,53,55,55
,1993,59,58,58
,1994,66,64,64
,1995,68,68,68
,1996,64,64,64
,1997,57,63,62
,1998,55,61,61
,1999,58,60,60
,2000,58,60,60
,2001,59,61,62
,2002,59,61,62
,2003,62,62,64
,2004,66,63,67
,2005,69,68,68
,2006,69,68,67
,2007,70,68,66
,2008,71,69,70
,2009,76,72,73
,2010,78,74,76
,2011,80,78,80
,2012,79,78,80
,2013,80,80,81
,2014,83,82,83
,2015,85,84,85
,2016,86,85,86
,2017,87,87,87
,2018,90,87,88
,2019,91,89,89
,2020,87,85,84
,2021,87,85,85
,2022,91,91,90
,2023,90,89,90
,2024,93,91,92
KOR,1980,4,,
KOR,1981,5,62,61
KOR,1982,5,70,61
KOR,1983,33,78,69
KOR,1984,61,80,76
KOR,1985,89,80,76
KOR,1986,89,80,76
KOR,1987,82,93,57
KOR,1988,70,91,58
KOR,1989,95,88,89
KOR,1990,93,74,74
KOR,1991,93,79,79
KOR,1992,93,84,84
KOR,1993,92,88,88
KOR,1994,92,93,93
KOR,1995,93,99,99
KOR,1996,89,91,90
KOR,1997,85,81,80
KOR,1998,85,71,74
KOR,1999,90,85,86
KOR,2000,95,99,97
KOR,2001,96,99,97
KOR,2002,97,99,97
KOR,2003,96,94,97
KOR,2004,99,90,88
KOR,2005,99,96,96
KOR,2006,99,98,98
KOR,2007,92,91,91
KOR,2008,92,92,94
KOR,2009,93,95,94
KOR,2010,98,95,94
KOR,2011,99,98,99
KOR,2012,99,99,99
KOR,2013,99,99,99
KOR,2014,99,99,99
KOR,2015,98,98,98
KOR,2016,98,98,98
KOR,2017,97,97,97
KOR,2018,98,98,98
KOR,2019,98,98,98
KOR,2020,98,98,98
KOR,2021,98,98,98
KOR,2022,97,97,98
KOR,2023,97,97,98
KOR,2024,97,97,97
SSD,2011,62,66,61
SSD,2012,59,67,63
SSD,2013,57,56,53
SSD,2014,54,52,50
SSD,2015,52,52,46
SSD,2016,51,45,45
SSD,2017,56,60,52
SSD,2018,61,60,59
SSD,2019,65,61,61
SSD,2020,69,65,67
SSD,2021,74,69,69
SSD,2022,72,72,73
SSD,2023,72,72,73
SSD,2024,72,72,73
,1980,0,3,7
,1981,0,4,7
,1982,0,8,11
,1983,1,10,14
,1984,3,12,16
,1985,6,15,20
,1986,16,21,24
,1987,26,30,33
,1988,34,38,41
,1989,47,55,52
,1990,59,67,70
,1991,50,62,61
,1992,56,60,60
,1993,63,64,64
,1994,69,70,70
,1995,72,72,71
,1996,69,71,69
,1997,62,68,67
,1998,60,67,66
,1999,63,66,65
,2000,63,64,64
,2001,63,65,65
,2002,62,66,65
,2003,65,66,67
,2004,69,66,69
,2005,73,72,70
,2006,73,72,71
,2007,74,73,70
,2008,76,75,75
,2009,80,79,78
,2010,83,80,82
,2011,85,82,84
,2012,84,83,85
,2013,85,85,86
,2014,87,87,87
,2015,88,88,88
,2016,89,88,89
,2017,91,90,90
,2018,93,91,90
,2019,94,90,91
,2020,88,85,86
,2021,87,82,83
,2022,94,92,93
,2023,91,89,90
,2024,95,91,92
ESP,1981,8,,
ESP,1982,27,,
ESP,1983,40,,
ESP,1984,68,91,95
ESP,1985,79,73,79
ESP,1986,83,75,88
ESP,1987,85,82,77
ESP,1988,84,94,93
ESP,1989,97,94,93
ESP,1990,99,94,86
ESP,1991,85,88,86
ESP,1992,83,85,84
ESP,1993,90,88,87
ESP,1994,90,88,88
ESP,1995,90,88,90
ESP,1996,90,91,90
ESP,1997,93,94,94
ESP,1998,93,94,95
