id,dof,test error,skew,kurtosis,time
23.0,31.99999849069843,0.15996146223440666,-0.020840322720830265,0.895667131711336,0.05538153648376465
13.0,28.999998978093533,0.1617403463976569,-0.0472681051117967,1.2304624569410176,0.05124258995056152
1.0,24.99999950792206,0.16084988535589928,-0.10983662623000351,1.0875850276448276,0.04430675506591797
43.0,39.999997627557995,0.15708108160872106,-0.2987152246606247,0.9416564971209147,0.07059144973754883
37.0,36.999998240134495,0.15859403450139659,-0.22667781258882902,1.1094438660918824,0.06335091590881348
23.0,25.449988096970987,0.1617936237785361,-0.007875949359042284,0.970025158410805,0.05275249481201172
13.0,23.71568806395281,0.16304798843051904,-0.03614640247280515,0.9556513659327894,0.05135655403137207
1.0,21.00752732756642,0.16266229788283795,-0.06454939028256886,0.8353161880435733,0.044663429260253906
43.0,30.938663663431242,0.1612945336529373,-0.21629543870866527,0.9749205430202288,0.0670006275177002
37.0,29.18116997081803,0.16079847713858408,-0.2072141763645671,1.238030830387828,0.06742668151855469
